K,cluster,n,center_bmi,bmi_min,bmi_max,median_tstar,p90_tstar
4,C1,118,29.82243508202303,20.703125,31.17585848,86.5193138795948,87.3130102633025
4,C2,84,32.58198972463065,31.220523156404024,33.962434124,81.68077336820417,86.08507331846538
4,C3,54,35.38749703712851,34.0254513521401,37.568712578,87.95465394239913,87.95465394239913
4,C4,11,41.13408919417175,38.75735012338922,46.875,81.84965826017947,81.84965826017947
5,C1,45,28.727954107310484,20.703125,29.76124885,82.08375164167647,85.82825155299624
5,C2,100,30.806053400900208,29.818653905,32.04614645,81.68077336820417,87.21498520280996
5,C3,75,33.33390555741471,32.08626595,34.6061223491483,87.18614830603067,87.18614830603067
5,C4,36,35.92925346743156,34.72222222,37.568712578,87.95465394239913,87.95465394239913
5,C5,11,41.13408919417175,38.75735012338922,46.875,81.84965826017947,81.84965826017947
6,C1,1,20.703125,20.703125,20.703125,,
6,C2,61,29.190891447659347,27.1015778725,30.09542061367328,82.08375164167647,85.82825155299624
6,C3,86,31.02823162853805,30.110278895,32.179591835,81.68077336820417,87.21498520280996
6,C4,72,33.383760671716715,32.2224964821991,34.6061223491483,87.18614830603067,87.18614830603067
6,C5,36,35.92925346743156,34.72222222,37.568712578,87.95465394239913,87.95465394239913
6,C6,11,41.13408919417175,38.75735012338922,46.875,81.84965826017947,81.84965826017947
7,C1,1,20.703125,20.703125,20.703125,,
7,C2,58,29.145722110578394,27.1015778725,29.97190978078825,82.08375164167647,85.82825155299624
7,C3,80,30.877326214348088,30.0275482125,31.862241538791974,81.68077336820417,87.21498520280996
7,C4,62,32.91340222358546,31.957043995,33.8888888875,87.18614830603067,87.18614830603067
7,C5,44,34.958593541015674,33.962434124,36.36363636,87.95465394239913,87.95465394239913
7,C6,18,37.91698720889663,36.56191029,40.5709342575,,
7,C7,4,44.169592425,42.001953125,46.875,81.84965826017947,81.84965826017947
8,C1,1,20.703125,20.703125,20.703125,,
8,C2,43,28.89054792974353,27.1015778725,29.711530155380025,82.08375164167647,85.82825155299624
8,C3,82,30.56483104227967,29.76124885,31.36491956828325,83.9790706969473,87.33093042334582
8,C4,53,32.35539341955235,31.49474171,33.10478427333334,84.43346083711742,86.63561081224802
8,C5,49,34.05212990820496,33.251953125,35.0376025975,,
8,C6,28,36.219866727443204,35.2610052275,37.568712578,87.95465394239913,87.95465394239913
8,C7,8,39.724820570111156,38.75735012338922,42.001953125,,
8,C8,3,44.89213885833333,42.818717615,46.875,81.84965826017947,81.84965826017947
